possible_ticker_count,raw_sector_compound,date,has_observed_news,sector,ticker_coverage_share,observed_ticker_count,signal_window_trading_days,signal_window_actual_trading_days,signal_window_start_date,signal_window_end_date,latest_raw_news_date_used,trailing_coverage_weighted_sentiment,effective_coverage,expanding_prior_mean,expanding_prior_std,expanding_prior_observations,raw_trailing_zscore,clipped_trailing_zscore,coverage_adjusted_zscore,min_history_observations,zscore_clip_bound,zscore_std_ddof,exploratory_method_label
5,0.12524924999999998,2020-05-12,True,Consumer,0.8,4,21,21,2020-04-13,2020-05-11,2020-05-11,0.09715246442958618,0.9714285714285714,0.06833777897236427,0.03530673445923424,89,0.8161243428075127,0.8161243428075127,0.8043809342661653,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.15184466666666668,2020-05-12,True,Energy,1.0,5,21,21,2020-04-13,2020-05-11,2020-05-11,0.02857562442715047,0.9619047619047619,0.08413538570789152,0.03469817466902927,89,-1.6012300880579842,-1.6012300880579842,-1.5704343265937617,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.1478297142857143,2020-05-12,True,Financials,1.0,5,21,21,2020-04-13,2020-05-11,2020-05-11,0.07098682060178385,0.9714285714285714,0.10566869886290456,0.04716163567484738,89,-0.7353832784815291,-0.7353832784815291,-0.7248016724434393,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.07749873015873014,2020-05-12,True,Healthcare,0.6,3,21,21,2020-04-13,2020-05-11,2020-05-11,0.0938135732054834,0.9523809523809523,0.1602222417340145,0.033159923294162334,89,-2.0026785930539854,-2.0,-1.9518001458970664,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.030972727272727277,2020-05-12,True,Industrials,0.8,4,21,21,2020-04-13,2020-05-11,2020-05-11,0.09046921787036909,0.9142857142857143,0.06382876961114663,0.022749316790516234,89,1.1710438825278642,1.1710438825278642,1.1197321209466624,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.09328777777777779,2020-05-12,True,Materials,0.6,3,21,21,2020-04-13,2020-05-11,2020-05-11,0.11161697223595318,0.8095238095238095,0.09302394114234606,0.036386656957419855,89,0.510984867759765,0.510984867759765,0.4597511799281007,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.3745875,2020-05-12,True,RealEstate,0.8,4,21,21,2020-04-13,2020-05-11,2020-05-11,0.0995523927587564,0.7333333333333333,0.10677930814290595,0.04775132884614979,89,-0.15134480147000703,-0.15134480147000703,-0.12960394496360936,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.04530033333333334,2020-05-12,True,Tech,1.0,5,21,21,2020-04-13,2020-05-11,2020-05-11,0.17764847380107981,0.9428571428571428,0.09428724387499197,0.041057311045208655,89,2.0303626273600304,2.0,1.942016624910449,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.19939625,2020-05-12,True,Utilities,0.8,4,21,21,2020-04-13,2020-05-11,2020-05-11,0.1356062787913739,0.8095238095238095,0.16786533716546262,0.05575106069715795,89,-0.5786268094399359,-0.5786268094399359,-0.5206110301158895,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.02526666666666666,2020-05-13,True,Comm,0.6,3,21,21,2020-04-14,2020-05-12,2020-05-12,0.1021864457174371,0.8285714285714286,0.09754388002244059,0.02798070688881699,90,0.1659202433106504,0.1659202433106504,0.15103039306876492,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.06879209523809524,2020-05-13,True,Consumer,1.0,5,21,21,2020-04-14,2020-05-12,2020-05-12,0.10373024398231746,0.9619047619047619,0.06865794214411118,0.03523896345455801,90,0.9952705301174184,0.9952705301174184,0.9761289251310672,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.06230467532467532,2020-05-13,True,Energy,1.0,5,21,21,2020-04-14,2020-05-12,2020-05-12,0.030027923415291043,0.9619047619047619,0.0835180550269944,0.03499620540589114,90,-1.5284551851069834,-1.5284551851069834,-1.499059071681213,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.15864920779220779,2020-05-13,True,Financials,1.0,5,21,21,2020-04-14,2020-05-12,2020-05-12,0.05988000008569862,0.9714285714285714,0.10528334466000323,0.04703821268371116,90,-0.9652438301514658,-0.9652438301514658,-0.9513547056088872,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.11921718259518259,2020-05-13,True,Healthcare,1.0,5,21,21,2020-04-14,2020-05-12,2020-05-12,0.0935624605109403,0.9333333333333333,0.15948436763925303,0.03370796510954379,90,-1.9556774463863482,-1.9556774463863482,-1.8893639113073513,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.014755555555555555,2020-05-13,True,Industrials,1.0,5,21,21,2020-04-14,2020-05-12,2020-05-12,0.09168998369377862,0.9047619047619048,0.06412477459180464,0.02279478361586704,90,1.2092770682318006,1.2092770682318006,1.150251929491446,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.12836466666666665,2020-05-13,True,Materials,1.0,5,21,21,2020-04-14,2020-05-12,2020-05-12,0.11374179600755965,0.7904761904761904,0.09323053037671948,0.036234702232702254,90,0.5660669018090759,0.5660669018090759,0.5032828817149717,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.27305,2020-05-13,True,RealEstate,0.8,4,21,21,2020-04-14,2020-05-12,2020-05-12,0.0832192758756395,0.7333333333333333,0.10669900908308208,0.04748841559151113,90,-0.49443075569023065,-0.49443075569023065,-0.4234052033924113,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.14325277777777778,2020-05-13,True,Tech,0.8,4,21,21,2020-04-14,2020-05-12,2020-05-12,0.1653258351415004,0.9523809523809523,0.09521347976305962,0.04176092039580236,90,1.6788987099405066,1.6788987099405066,1.6384373735041386,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.37966666666666665,2020-05-13,True,Utilities,0.6,3,21,21,2020-04-14,2020-05-12,2020-05-12,0.14512138243283051,0.8095238095238095,0.1675069031835283,0.055541157101552115,90,-0.4030438312577432,-0.4030438312577432,-0.36263280710419554,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.1712533333333333,2020-05-14,True,Comm,1.0,5,21,21,2020-04-15,2020-05-13,2020-05-13,0.09209700793231317,0.819047619047619,0.0975948972278801,0.027829080079680997,91,-0.19755914603807342,-0.19755914603807342,-0.178793495987042,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.129311931372549,2020-05-14,True,Consumer,1.0,5,21,21,2020-04-15,2020-05-13,2020-05-13,0.09614373879608454,0.9619047619047619,0.06904335205442114,0.035234984773631434,91,0.7691329204701214,0.7691329204701214,0.7543405217201044,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
