date,sector,raw_sector_finbert,sector_probability_positive,sector_probability_negative,sector_probability_neutral,observed_ticker_count,headline_count,possible_ticker_count,ticker_coverage_share,has_observed_news,sentiment_model,score_name,text_input_column,text_preprocessing,raw_index_purpose
2021-02-02,Utilities,0.023964799940586,0.0489521585404872,0.0249873585999012,0.9260604977607728,1,1,5,0.2,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-03,Comm,0.050358712233396025,0.0909444554191496,0.04058574318575358,0.8684697813457912,3,10,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-03,Consumer,0.07582254452993059,0.2106796271529876,0.13485708262305704,0.6544632868220409,4,19,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-03,Energy,-0.1585761186045905,0.168203790547947,0.3267799091525376,0.505016282076637,3,11,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-03,Financials,0.18519941181099667,0.311753790685907,0.12655437887491033,0.561691813264042,4,13,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-03,Healthcare,0.15893541343587758,0.3008566221532722,0.14192120871739458,0.5572221678604061,4,24,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-03,Industrials,0.07738787331618367,0.23223809727157152,0.15485022395538783,0.6129116965457797,4,9,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-03,Materials,0.490699908696115,0.515483595430851,0.024783686734735935,0.4597327212492625,3,3,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-03,RealEstate,0.6714870169137915,0.7171525144949555,0.04566549758116399,0.2371820323169231,2,4,5,0.4,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-03,Tech,0.2248902244027704,0.38048321031965315,0.1555929859168827,0.4639238065186267,3,14,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-03,Utilities,-0.1047400285800298,0.09588760799831812,0.20062763657834792,0.7034847338994344,3,6,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-04,Comm,0.23492252846093226,0.37322430149652064,0.13830177303558833,0.4884739130114515,4,9,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-04,Consumer,-0.06737715166683,0.09214003228892878,0.15951718395575876,0.7483427770932516,5,16,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-04,Energy,-0.21960093936650085,0.036399138916749466,0.25600007828325033,0.7076008035801351,4,8,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-04,Financials,0.128350584465079,0.2755582198267802,0.1472076353617012,0.5772341535426676,4,11,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-04,Healthcare,0.22673704490404237,0.3361971183256669,0.10946007342162452,0.5543427982028912,5,19,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-04,Industrials,0.014005495235323856,0.19723997078835964,0.1832344755530357,0.6195255480706692,3,5,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-04,Materials,,,,,0,0,5,0.0,False,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-04,RealEstate,0.0013929009437561,0.0336319617927074,0.0322390608489513,0.934128999710083,2,2,5,0.4,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-04,Tech,0.1030708365827734,0.24483618791205708,0.14176535132928367,0.6133984670091372,3,21,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-04,Utilities,0.05165991528580586,0.23642610758543015,0.18476619229962424,0.5788077041506767,1,3,5,0.2,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
